U+2A700	𪜀	hy
U+2A701	𪜁	he
U+2A702	𪜂	hw
U+2A703	𪜃	qj
U+2A704	𪜄	bk
U+2A705	𪜅	mj
U+2A706	𪜆	hj
U+2A707	𪜇	wq
U+2A708	𪜈	sq
U+2A709	𪜉	zp
U+2A70A	𪜊	dy
U+2A70B	𪜋	zg
U+2A70C	𪜌	nr
U+2A70D	𪜍	qz
U+2A70E	𪜎	qk
U+2A70F	𪜏	yn
U+2A710	𪜐	yh
U+2A711	𪜑	my
U+2A712	𪜒	yj
U+2A713	𪜓	jy
U+2A714	𪜔	jq
U+2A715	𪜕	zy
U+2A716	𪜖	xh
U+2A717	𪜗	jh
U+2A718	𪜘	py
U+2A719	𪜙	js
U+2A71A	𪜚	sy
U+2A71B	𪜛	rb
U+2A71C	𪜜	bl
U+2A71D	𪜝	yq
U+2A71E	𪜞	yq
U+2A71F	𪜟	sy
U+2A720	𪜠	ef
U+2A721	𪜡	sw
U+2A722	𪜢	ej
U+2A723	𪜣	ld
U+2A724	𪜤	ez
U+2A725	𪜥	ey
U+2A726	𪜦	tl
U+2A727	𪜧	rc
U+2A728	𪜨	rn
U+2A729	𪜩	rg
U+2A72A	𪜪	rb
U+2A72B	𪜫	rc
U+2A72C	𪜬	rw
U+2A72D	𪜭	ry
U+2A72E	𪜮	rm
U+2A72F	𪜯	rl
U+2A730	𪜰	rh
U+2A731	𪜱	rh
U+2A732	𪜲	rc
U+2A733	𪜳	rm
U+2A734	𪜴	rh
U+2A735	𪜵	rz
U+2A736	𪜶	ry
U+2A737	𪜷	rd
U+2A738	𪜸	rz
U+2A739	𪜹	ry
U+2A73A	𪜺	rz
U+2A73B	𪜻	rc
U+2A73C	𪜼	rn
U+2A73D	𪜽	rl
U+2A73E	𪜾	rz
U+2A73F	𪜿	rn
U+2A740	𪝀	rj
U+2A741	𪝁	rc
U+2A742	𪝂	rg
U+2A743	𪝃	yc
U+2A744	𪝄	rk
U+2A745	𪝅	rm
U+2A746	𪝆	rf
U+2A747	𪝇	rw
U+2A748	𪝈	rs
U+2A749	𪝉	rt
U+2A74A	𪝊	rd
U+2A74B	𪝋	rx
U+2A74C	𪝌	rt
U+2A74D	𪝍	rh
U+2A74E	𪝎	xl
U+2A74F	𪝏	rk
U+2A750	𪝐	rh
U+2A751	𪝑	rw
U+2A752	𪝒	rd
U+2A753	𪝓	ry
U+2A754	𪝔	ry
U+2A755	𪝕	rp
U+2A756	𪝖	rg
U+2A757	𪝗	ly
U+2A758	𪝘	ry
U+2A759	𪝙	rh
U+2A75A	𪝚	rh
U+2A75B	𪝛	ry
U+2A75C	𪝜	rs
U+2A75D	𪝝	rz
U+2A75E	𪝞	ry
U+2A75F	𪝟	rr
U+2A760	𪝠	rg
U+2A761	𪝡	rm
U+2A762	𪝢	ry
U+2A763	𪝣	rj
U+2A764	𪝤	ry
U+2A765	𪝥	re
U+2A766	𪝦	rj
U+2A767	𪝧	ry
U+2A768	𪝨	rm
U+2A769	𪝩	rj
U+2A76A	𪝪	jg
U+2A76B	𪝫	rq
U+2A76C	𪝬	rs
U+2A76D	𪝭	ry
U+2A76E	𪝮	xx
U+2A76F	𪝯	wd
U+2A770	𪝰	rm
U+2A771	𪝱	cg
U+2A772	𪝲	qz
U+2A773	𪝳	rh
U+2A774	𪝴	rq
U+2A775	𪝵	rl
U+2A776	𪝶	js
U+2A777	𪝷	rn
U+2A778	𪝸	rw
U+2A779	𪝹	pm
U+2A77A	𪝺	rx
U+2A77B	𪝻	dj
U+2A77C	𪝼	ry
U+2A77D	𪝽	zy
U+2A77E	𪝾	rc
U+2A77F	𪝿	re
U+2A780	𪞀	gg
U+2A781	𪞁	ms
U+2A782	𪞂	mz
U+2A783	𪞃	gx
